time,qdot_1,qdot_2,qdot_3,qdot_4,qdot_5,qdot_6
0,-0.0100703212073263,-0.0109368331911492,0.017110524072628,2.05631203732336e-05,0.00260086732289384,-1.35795339821464e-11
0.05,-0.221773242581136,-0.117405856185416,0.108479782545748,0.0002359196397288,0.0170071840870118,1.08928896794064e-10
0.1,-0.233199799857628,-0.123525157452574,0.118406692513657,0.000334134672814164,0.0186390677783764,1.2893817334769e-10
0.15,-0.235603112650277,-0.121537113490922,0.116376296018417,0.000385905051238075,0.0183646424844424,-2.58394942946048e-12
0.2,-0.23725039713537,-0.118648609074148,0.112891518186388,0.000418533852235578,0.0178440921995986,-8.36329358683934e-11
0.25,-0.23850145486167,-0.115623485770692,0.109257418067027,0.000442828199803525,0.0172914127445554,4.90047838830039e-11
0.3,-0.23936540609212,-0.112563890748503,0.105641521725619,0.000463148893746477,0.0167372372568304,4.90448121646693e-11
0.35,-0.239835991956545,-0.109496717692495,0.102076225221463,0.000481279751020748,0.0161885732651263,5.9106883943092e-11
0.4,-0.239907399683084,-0.10644017510149,0.0985778199029523,0.000497905172895719,0.0156488242957459,4.10929905877325e-12
0.45,-0.239575077348975,-0.103411399643035,0.0951602997585963,0.000513275908007846,0.015120605118054,6.46058123678319e-11
0.5,-0.238827340410587,-0.100428638071431,0.0918363782299021,0.000527622597659313,0.0146061323302161,-2.68379702459596e-11
0.55,-0.237687874292045,-0.0975037375620245,0.0886195435176701,0.00054067120427585,0.0141076589640383,3.94450553712768e-11
0.6,-0.236129462010259,-0.0946575651953754,0.0855203759957323,0.000552456071753994,0.0136269753997451,5.76268036397671e-11
0.65,-0.234157085757453,-0.091904556225788,0.0825470945496129,0.000563051661373358,0.0131655255045988,-1.37636195576589e-11
0.7,-0.231767760321231,-0.0892737048314448,0.0796940798721349,0.000572630598764632,0.0127226766579385,8.06333262045162e-11
0.75,-0.229058491363479,-0.0867757878793706,0.0770291674899922,0.000580405828127539,0.0123086027655285,2.67347499813983e-10
0.8,-0.225881760551942,-0.0843519864500273,0.07452883948735,0.000586466763269622,0.0119198334657565,1.2205957349787e-11
0.85,-0.222310536484904,-0.0821113201895019,0.0721544465987884,0.00059120197277409,0.0115507408479454,4.05274424641385e-11
0.9,-0.218372822163342,-0.0800311083225495,0.0699532210080176,0.000594603849923108,0.0112087605937629,4.97777997642074e-11
0.95,-0.21406580205872,-0.0781171798680889,0.0679288410092755,0.000596580333126793,0.0108945386187322,-6.39990267040411e-11
1,-0.209397894330636,-0.0763802937568301,0.0660831938418769,0.000596902803781856,0.0106084273986984,5.67828515964778e-11
1.05,-0.20437295457828,-0.0748228476938958,0.0644172298618677,0.000595729910099151,0.0103506476404327,3.91548150699664e-11
1.1,-0.199007610556545,-0.0734562986507179,0.0629327020579006,0.000592951447454161,0.010121543893527,2.54756764300485e-11
1.15,-0.193311305456743,-0.0722837355223212,0.0616297572050613,0.000588509983818728,0.00992121637919688,3.76590317239562e-11
1.2,-0.187295614518456,-0.071308210259208,0.0605075326827925,0.000582315899970702,0.00974958238146227,6.71942978921164e-11
1.25,-0.180973153771402,-0.0705322648153394,0.0595637507176432,0.000574178091777436,0.00960632392152705,1.21527056794656e-10
1.3,-0.174354061421785,-0.0699487827399544,0.0588014392115364,0.000564241970111564,0.00949199181016023,6.38062550107772e-12
1.35,-0.167454912422872,-0.0695724435084971,0.0582062360484119,0.000552495955316006,0.00940441954530688,1.38972910352279e-10
1.4,-0.160284002842569,-0.0693910708131994,0.0577783847848859,0.000538633022948236,0.00934358017697325,-9.65240540178934e-11
1.45,-0.152843202570525,-0.0693890637000829,0.0575168102310112,0.000522860055333872,0.00930953565995465,-1.88950681624659e-10
1.5,-0.145161899000883,-0.0695881562192111,0.0574013270832648,0.000504843057939441,0.0092989277564338,2.65566609632233e-10
